timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1713939790623,6,JAVA,201,,CATEGORIA_POST 1-24,,true,,121,232,46,46,http://localhost:8080/api/v1/inventario/categorias,6,0,1
1713939790211,426,PYTHON,201,Created,CATEGORIA_POST 1-25,text,true,,370,234,46,46,http://localhost:8000/api/v1/inventario/categorias,426,0,1
1713939790637,5,GO,200,OK,CATEGORIA_POST 1-25,text,true,,481,230,46,46,http://localhost:3000/api/v1/inventario/categorias,5,0,1
1713939790642,4,JAVA,201,,CATEGORIA_POST 1-25,,true,,121,232,46,46,http://localhost:8080/api/v1/inventario/categorias,4,0,1
1713939790222,437,PYTHON,201,Created,CATEGORIA_POST 1-6,text,true,,370,234,47,47,http://localhost:8000/api/v1/inventario/categorias,437,0,0
1713939790659,3,GO,200,OK,CATEGORIA_POST 1-6,text,true,,481,230,47,47,http://localhost:3000/api/v1/inventario/categorias,3,0,0
1713939790663,4,JAVA,201,,CATEGORIA_POST 1-6,,true,,121,232,48,48,http://localhost:8080/api/v1/inventario/categorias,4,0,0
1713939790231,445,PYTHON,201,Created,CATEGORIA_POST 1-26,text,true,,370,234,48,48,http://localhost:8000/api/v1/inventario/categorias,445,0,1
1713939790677,5,GO,200,OK,CATEGORIA_POST 1-26,text,true,,481,230,48,48,http://localhost:3000/api/v1/inventario/categorias,5,0,0
1713939790250,445,PYTHON,201,Created,CATEGORIA_POST 1-27,text,true,,370,234,49,49,http://localhost:8000/api/v1/inventario/categorias,445,0,1
1713939790682,18,JAVA,201,,CATEGORIA_POST 1-26,,true,,121,232,49,49,http://localhost:8080/api/v1/inventario/categorias,18,0,0
1713939790695,7,GO,200,OK,CATEGORIA_POST 1-27,text,true,,481,230,49,49,http://localhost:3000/api/v1/inventario/categorias,7,0,1
1713939790702,5,JAVA,201,,CATEGORIA_POST 1-27,,true,,121,232,49,49,http://localhost:8080/api/v1/inventario/categorias,5,0,1
1713939790250,471,PYTHON,201,Created,CATEGORIA_POST 1-12,text,true,,370,234,50,50,http://localhost:8000/api/v1/inventario/categorias,471,0,0
1713939790722,2,GO,200,OK,CATEGORIA_POST 1-12,text,true,,481,230,50,50,http://localhost:3000/api/v1/inventario/categorias,2,0,0
1713939790725,3,JAVA,201,,CATEGORIA_POST 1-12,,true,,121,232,51,51,http://localhost:8080/api/v1/inventario/categorias,3,0,0
1713939790266,473,PYTHON,201,Created,CATEGORIA_POST 1-28,text,true,,370,234,51,51,http://localhost:8000/api/v1/inventario/categorias,473,0,1
1713939790740,5,GO,200,OK,CATEGORIA_POST 1-28,text,true,,481,230,51,51,http://localhost:3000/api/v1/inventario/categorias,5,0,0
1713939790745,4,JAVA,201,,CATEGORIA_POST 1-28,,true,,121,232,52,52,http://localhost:8080/api/v1/inventario/categorias,4,0,1
1713939790280,478,PYTHON,201,Created,CATEGORIA_POST 1-13,text,true,,370,234,52,52,http://localhost:8000/api/v1/inventario/categorias,478,0,1
1713939790758,4,GO,200,OK,CATEGORIA_POST 1-13,text,true,,481,230,52,52,http://localhost:3000/api/v1/inventario/categorias,4,0,0
1713939790283,482,PYTHON,201,Created,CATEGORIA_POST 1-1,text,true,,370,234,52,52,http://localhost:8000/api/v1/inventario/categorias,482,0,1
1713939790762,3,JAVA,201,,CATEGORIA_POST 1-13,,true,,121,232,52,52,http://localhost:8080/api/v1/inventario/categorias,3,0,0
